,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,870,0,13,13,1,1,95,0,7,0
True_1,0,983,0,10,0,0,5,0,2,0
True_2,11,0,888,5,36,0,60,0,0,0
True_3,19,8,7,919,11,0,35,0,1,0
True_4,0,0,42,28,851,0,79,0,0,0
True_5,0,0,0,0,0,986,0,9,0,5
True_6,97,4,51,19,44,0,778,0,7,0
True_7,0,0,0,0,0,13,0,944,0,43
True_8,3,1,1,2,0,1,4,0,988,0
True_9,0,0,0,0,0,7,0,14,0,979
