,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,905,0,15,15,5,3,53,0,4,0
True_1,0,983,1,11,1,0,3,0,1,0
True_2,19,0,887,7,56,0,31,0,0,0
True_3,16,7,12,895,43,0,26,0,1,0
True_4,1,2,35,16,914,0,32,0,0,0
True_5,0,0,0,0,0,987,0,8,0,5
True_6,138,2,71,22,91,0,672,0,4,0
True_7,0,0,0,0,0,13,0,966,0,21
True_8,3,0,2,3,1,1,6,3,981,0
True_9,0,0,0,0,0,3,0,39,1,957
