,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,840,1,24,20,3,2,105,0,3,2
True_1,0,987,1,9,1,0,1,0,1,0
True_2,13,0,912,7,32,0,36,0,0,0
True_3,11,9,11,919,25,0,25,0,0,0
True_4,0,1,90,19,840,0,48,0,2,0
True_5,0,0,0,0,0,971,0,17,0,12
True_6,91,4,79,21,67,0,733,0,5,0
True_7,0,0,0,0,0,5,0,977,0,18
True_8,2,1,7,4,2,0,3,5,976,0
True_9,0,0,0,0,0,4,0,31,0,965
