,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,865,1,18,24,2,2,82,0,6,0
True_1,0,985,0,11,1,0,1,0,2,0
True_2,15,1,905,7,36,0,36,0,0,0
True_3,13,4,12,936,13,0,20,0,2,0
True_4,1,1,79,40,835,0,43,0,1,0
True_5,0,0,0,0,0,965,0,29,0,6
True_6,116,4,67,27,62,0,712,0,12,0
True_7,0,0,0,0,0,4,0,984,0,12
True_8,3,1,2,4,0,2,0,5,983,0
True_9,0,0,0,0,0,5,0,49,0,946
