,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,865,1,19,6,4,1,98,0,6,0
True_1,0,993,0,3,1,0,1,0,2,0
True_2,13,1,858,5,71,0,51,0,1,0
True_3,28,11,16,880,24,0,40,0,1,0
True_4,0,2,31,17,922,0,28,0,0,0
True_5,0,0,0,0,0,966,0,22,0,12
True_6,91,5,55,16,114,0,714,0,5,0
True_7,0,0,0,0,0,5,0,975,0,20
True_8,2,1,6,2,0,1,3,2,983,0
True_9,0,0,0,0,0,2,1,37,0,960
