,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,855,0,21,40,2,2,71,0,8,1
True_1,0,979,1,16,1,0,1,0,2,0
True_2,9,0,888,14,58,0,31,0,0,0
True_3,8,6,7,935,20,0,23,0,1,0
True_4,1,1,55,33,883,0,26,0,1,0
True_5,0,0,0,0,0,964,0,18,0,18
True_6,120,3,81,33,113,0,640,0,10,0
True_7,0,0,0,0,0,13,0,957,0,30
True_8,2,1,5,3,1,3,2,6,975,2
True_9,0,0,0,0,0,4,0,30,0,966
