,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,844,2,23,47,5,4,69,0,5,1
True_1,0,984,0,12,2,0,0,0,2,0
True_2,13,2,869,12,62,0,42,0,0,0
True_3,15,10,8,923,22,0,21,0,1,0
True_4,0,2,76,29,866,0,27,0,0,0
True_5,0,0,0,0,0,966,0,19,0,15
True_6,127,4,91,44,116,0,606,0,12,0
True_7,0,0,0,0,0,14,0,931,0,55
True_8,3,3,1,6,3,3,1,4,975,1
True_9,0,0,0,0,0,5,1,24,0,970
