,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,858,0,19,25,5,3,82,0,7,1
True_1,2,968,0,19,5,1,3,0,1,1
True_2,15,1,811,11,91,0,69,0,2,0
True_3,30,6,9,883,42,0,29,0,1,0
True_4,1,2,60,26,851,0,60,0,0,0
True_5,0,0,0,1,0,947,0,42,0,10
True_6,160,0,71,23,99,0,630,0,17,0
True_7,0,0,0,0,0,7,0,976,0,17
True_8,1,1,2,5,4,3,3,5,975,1
True_9,0,0,0,0,0,8,0,56,0,936
